Component_long,Component,Cattle(%wt),,,,,,,,,
Water,Wa,94.142,,,,,,,,,
Organic_matter,OM,5.858,,,,,,,,,
Carbon,C,2.478,,,,,,,,,
Nitrogen,N,0.384,,,,,,,,,
Phosphorus,P,0.059,,,,,,,,,
Calcium,Ca,0.117,,,,,,,,,
Potassium,K,0.253,,,,,,,,,
Rest,Rest,2.567,,,,,,,,,
NH3_N_ratio,NH3_N_ratio,0.59,,,,,,,,,
PO4_P_ratio,PO4_P_ratio,0.541,,,,,,,,,
CaIon_Ca_ratio,Caion_Ca_ratio,0.154,,,,,,,,,
KIon_K_ratio ,Kion_K_ratio,1,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Dairy Cow,Dairy Cow (%wt),Dairy Heifer,Dairy Heifer (%wt),Dairy Calf,Dairy Calf (%wt),Beef Cow,Beef Cow (%wt),Beef Calf,Beef Calf (%wt)
,Total,51,,56,,83,,104,,77,
,Water,87,87,83,83,83,83,88,88,88,88
,Organic_matter,5.6,10.9803921568627,7.3,13.0357142857143,7.7,9.27710843373494,11,10.5769230769231,7.7,10
,Nitrogen,0.3,0.588235294117647,0.27,0.482142857142857,0.42,0.506024096385542,0.35,0.336538461538462,0.45,0.584415584415584
,Phosphorus,0.042,0.082352941176471,0.05,0.089285714285714,0.05,0.060240963855422,0.08,0.076923076923077,0.08,0.103896103896104
,Calcium,,0.117,,0.117,,0.117,,0.117,,0.117
,Potassium,0.1,0.196078431372549,0.12,0.214285714285714,0.11,0.132530120481928,0.25,0.240384615384615,0.29,0.376623376623377
,Rest,,1.03594117647059,,3.06157142857143,,6.90709638554216,,0.652230769230769,,0.818064935064939
